TimeStamp,Region,Site,Bandwidth,Availabulity,Packet Loss
2023-08-06 09:33:05,Europe,Site_E,941.15,92.8,4.08
2023-10-01 23:51:32,Africa,Site_A,390.4,90.22,0.6
2023-02-14 01:32:59,Australia,Site_D,485.02,92.05,0.53
2023-08-25 17:37:53,Asia,Site_E,685.41,92.76,0.89
2023-01-28 02:19:26,North America,Site_D,198.56,98.96,4.02
2023-07-07 00:19:41,South America,Site_B,751.05,99.79,0.29
2023-10-26 22:01:30,Australia,Site_C,421.87,92.76,1.09
2023-03-13 01:34:05,Africa,Site_D,596.28,96.25,4.43
2023-01-15 03:43:56,Australia,Site_C,654.52,91.62,2.28
2023-09-08 20:50:20,North America,Site_C,667.79,92.89,2.91
2023-04-21 00:37:00,Australia,Site_C,137.87,96.82,3.26
2023-04-23 20:04:02,Africa,Site_E,892.29,91.48,4.13
2023-04-01 01:48:48,Africa,Site_A,181.21,95.43,0.86
2023-02-22 17:55:13,Europe,Site_E,660.53,96.64,2.36
2023-11-14 11:48:00,South America,Site_A,514.46,99.4,4.15
2023-04-19 22:00:49,North America,Site_E,765.07,91.29,1.71
2023-11-24 16:30:45,Asia,Site_C,425.27,99.28,4.96
2023-08-31 06:15:25,Australia,Site_E,980.26,95.53,3.3
2023-03-18 16:26:09,North America,Site_A,997.46,99.86,0.05
2023-01-06 05:28:26,Europe,Site_A,156.2,94.92,0.44
2023-04-08 14:37:03,Africa,Site_B,224.15,91.1,3.19
2023-02-09 16:34:35,North America,Site_B,466.29,97.19,3.99
2023-12-22 22:25:27,Australia,Site_B,479.46,97.98,2.07
2023-02-04 14:37:41,South America,Site_A,727.27,95.75,2.05
2023-01-02 23:07:37,North America,Site_C,493.13,96.12,0.73
2023-08-31 18:35:40,Asia,Site_A,206.95,90.39,3.61
2023-11-29 10:15:30,South America,Site_D,101.41,94.87,1.55
2023-09-02 16:30:38,Australia,Site_D,281.07,96.82,2.28
2023-07-23 14:33:05,South America,Site_B,331.51,94.26,1.63
2023-08-27 17:56:10,Europe,Site_D,510.25,97.67,4.89
2023-03-05 04:31:26,Asia,Site_D,992.44,96.96,3.06
2023-08-23 21:27:24,Australia,Site_B,976.99,92.27,1.64
2023-02-11 06:10:48,North America,Site_E,422.88,92.26,4.86
2023-03-01 20:54:50,Africa,Site_E,417.7,96.46,3.3
2023-06-12 09:21:15,Africa,Site_E,959.72,97.43,2.16
2023-02-02 18:05:50,Europe,Site_B,371.36,90.24,3.45
2023-10-24 04:26:08,Africa,Site_D,623.81,91.27,0.42
2023-02-28 23:33:00,Asia,Site_D,547.77,97.36,1.44
2023-12-06 22:32:01,South America,Site_D,784.64,99.45,4.73
2023-07-09 15:02:57,Africa,Site_D,817.46,94.73,0.7
2023-12-05 21:05:32,Europe,Site_C,916.78,91.92,0.48
2023-05-31 05:31:32,North America,Site_D,865.54,96.56,3.66
2023-02-26 09:36:07,Australia,Site_E,649.78,94.02,1.66
2023-06-08 05:25:17,Africa,Site_C,734.84,98.01,2.42
2023-08-05 15:44:46,Africa,Site_D,84.16,99.0,1.9
2023-10-22 00:32:10,South America,Site_C,516.55,94.1,1.7
2023-06-08 04:40:38,Asia,Site_E,160.69,92.18,2.88
2023-03-04 21:42:16,South America,Site_E,251.47,90.41,1.27
2023-07-06 09:20:25,Africa,Site_D,587.63,93.01,3.7
2023-04-02 15:32:14,North America,Site_B,144.38,91.4,1.07
2023-09-22 22:14:28,South America,Site_E,746.24,93.29,0.04
2023-09-02 08:21:16,North America,Site_A,762.61,94.17,3.99
2023-01-01 11:12:10,North America,Site_C,483.21,90.47,3.76
2023-06-15 17:41:19,South America,Site_B,962.63,93.73,1.78
2023-09-17 09:36:59,Africa,Site_A,810.38,99.34,0.76
2023-10-30 07:08:04,Africa,Site_A,876.01,97.12,4.62
2023-01-17 06:11:32,South America,Site_D,760.7,90.26,4.95
2023-01-17 22:28:54,Europe,Site_A,777.99,90.7,0.17
2023-10-16 14:43:56,South America,Site_C,582.93,97.13,0.73
2023-03-10 12:30:18,Europe,Site_C,982.35,97.64,3.75
2023-05-09 18:32:17,Australia,Site_C,130.0,94.36,0.17
2023-03-11 01:28:22,Europe,Site_B,210.81,99.9,1.61
2023-07-08 14:26:49,Asia,Site_E,554.89,93.31,2.04
2023-12-06 18:32:41,North America,Site_C,967.13,96.34,0.1
2023-01-11 11:53:54,Australia,Site_C,283.27,90.59,3.29
2023-10-14 03:31:36,South America,Site_A,445.55,94.99,2.71
2023-12-18 15:35:19,North America,Site_B,907.26,99.34,2.84
2023-10-24 03:01:30,Europe,Site_C,226.75,99.76,3.05
2023-09-06 17:58:22,Australia,Site_D,863.09,90.98,0.74
2023-05-17 07:59:58,South America,Site_D,576.8,99.57,1.43
2023-12-31 05:11:47,South America,Site_E,310.14,97.25,4.78
2023-01-30 09:59:37,South America,Site_A,741.77,96.99,2.35
2023-07-20 11:23:09,South America,Site_A,645.7,95.66,1.71
2023-01-15 15:00:27,Asia,Site_E,269.38,98.23,2.87
2023-07-09 08:16:21,North America,Site_A,464.84,90.66,2.02
2023-11-10 18:51:09,Australia,Site_C,62.21,94.3,2.39
2023-05-04 15:19:19,Australia,Site_D,890.57,95.09,3.01
2023-11-29 17:01:36,Australia,Site_D,203.22,95.03,0.94
2023-10-16 21:35:59,South America,Site_D,188.46,92.98,1.26
2023-12-21 23:46:36,South America,Site_D,112.4,98.27,2.33
2023-03-01 03:02:54,Asia,Site_E,135.62,98.89,2.59
2023-11-11 11:56:09,Asia,Site_C,346.26,97.22,1.74
2023-09-06 10:28:22,Europe,Site_E,924.03,97.76,4.5
2023-05-24 04:47:29,North America,Site_E,989.17,92.01,1.93
2023-03-24 12:07:35,Asia,Site_A,876.95,91.9,3.74
2023-12-16 02:19:00,Asia,Site_B,930.54,90.07,1.76
2023-10-07 15:10:38,Australia,Site_E,916.32,95.78,4.33
2023-10-24 03:30:28,Australia,Site_E,910.62,99.7,4.75
2023-03-03 01:23:24,Europe,Site_C,475.76,98.73,2.65
2023-05-16 06:28:19,Australia,Site_A,431.85,96.88,0.98
2023-05-01 07:58:34,South America,Site_C,941.02,95.5,1.76
2023-08-01 01:58:25,Europe,Site_B,796.34,98.26,2.15
2023-05-24 15:06:04,Australia,Site_A,247.21,96.46,1.6
2023-12-07 22:32:55,Asia,Site_C,355.5,92.34,2.58
2023-08-10 16:05:17,Europe,Site_E,107.01,98.54,4.04
2023-07-31 12:29:48,Africa,Site_B,89.96,92.17,3.31
2023-04-20 13:18:54,Australia,Site_B,340.09,98.06,4.43
2023-12-22 14:08:56,Australia,Site_B,267.55,94.68,0.19
2023-03-26 04:40:17,North America,Site_A,377.64,91.96,4.39
2023-10-05 01:43:54,North America,Site_A,357.01,94.57,3.34
2023-12-15 09:49:43,Europe,Site_C,661.88,91.15,1.95
2023-04-29 07:44:31,Europe,Site_B,684.2,96.52,0.46
2023-09-11 19:11:29,Australia,Site_A,846.25,90.18,4.49
2023-05-27 18:44:26,Europe,Site_B,932.14,94.65,2.8
2023-05-28 08:03:22,Africa,Site_D,645.43,92.06,3.43
2023-12-22 11:12:08,South America,Site_E,75.61,91.56,1.56
2023-11-10 12:38:00,South America,Site_C,501.34,95.85,1.61
2023-01-29 17:28:14,Australia,Site_E,924.59,90.98,4.28
2023-04-10 00:10:01,Australia,Site_C,174.08,90.31,2.7
2023-01-15 06:23:13,Australia,Site_B,291.59,94.67,0.59
2023-06-28 13:17:40,Asia,Site_B,446.3,92.21,2.23
2023-04-21 20:51:34,Asia,Site_B,611.22,92.19,1.4
2023-12-17 10:07:25,Australia,Site_D,931.61,92.34,3.11
2023-06-28 07:38:45,Europe,Site_E,448.73,93.17,3.9
2023-10-03 08:11:13,Europe,Site_B,632.9,95.04,1.14
2023-01-10 07:00:31,Africa,Site_D,298.0,94.48,2.35
2023-02-16 16:33:30,South America,Site_C,943.08,96.79,1.66
2023-07-24 20:42:36,South America,Site_C,835.77,98.88,0.14
2023-07-11 05:38:01,South America,Site_C,113.88,90.66,1.29
2023-01-10 05:56:08,Asia,Site_C,200.78,98.18,0.17
2023-01-02 19:39:41,North America,Site_A,523.02,91.73,2.07
2023-02-08 20:28:03,Africa,Site_C,834.48,96.84,4.2
2023-04-11 21:47:37,Africa,Site_E,831.09,95.08,0.76
2023-04-27 09:33:36,North America,Site_E,861.84,96.1,4.47
2023-02-25 12:06:49,North America,Site_E,931.71,97.82,1.4
2023-05-11 14:04:38,Asia,Site_C,453.9,95.36,4.94
2023-11-30 19:51:07,Europe,Site_D,532.7,97.77,3.41
2023-07-23 12:31:12,Europe,Site_B,392.27,99.04,1.65
2023-12-18 16:50:00,Australia,Site_D,325.46,94.86,1.96
2023-05-10 05:54:29,Australia,Site_E,639.39,97.48,2.1
2023-05-23 06:29:34,Australia,Site_D,575.77,97.3,2.28
2023-08-01 07:20:19,North America,Site_A,728.64,96.29,4.03
2023-11-29 22:00:43,Asia,Site_D,636.96,98.28,4.86
2023-07-13 15:57:47,Australia,Site_E,435.05,97.53,4.88
2023-07-02 13:43:53,Asia,Site_E,856.56,98.14,2.81
2023-08-19 02:40:12,Africa,Site_C,573.95,97.46,3.59
2023-06-19 18:12:56,Africa,Site_C,972.63,90.14,2.29
2023-02-28 07:30:21,Africa,Site_E,794.12,95.56,4.09
2023-07-12 09:44:59,Australia,Site_A,983.98,99.15,0.74
2023-07-23 13:46:58,Australia,Site_E,772.89,92.5,2.4
2023-10-23 02:59:33,North America,Site_E,219.33,99.8,1.43
2023-12-06 15:18:50,North America,Site_C,534.74,95.26,3.3
2023-11-30 21:16:46,South America,Site_D,427.94,91.43,2.2
2023-03-21 01:36:36,Europe,Site_C,271.88,98.71,3.2
2023-05-17 15:02:35,South America,Site_D,771.91,94.46,3.32
2023-11-22 03:54:26,Australia,Site_D,539.23,98.95,4.22
2023-12-18 22:50:55,Australia,Site_E,693.96,90.27,0.2
2023-07-30 04:26:54,North America,Site_B,623.94,93.94,0.85
2023-11-22 21:22:43,Asia,Site_A,815.82,98.48,0.32
2023-02-05 13:47:28,Europe,Site_C,250.07,92.1,4.45
2023-02-17 21:35:19,Europe,Site_A,354.58,96.34,2.07
2023-08-22 05:52:15,South America,Site_E,812.76,93.6,3.2
2023-01-31 17:21:48,Asia,Site_E,526.11,97.67,4.78
2023-07-20 19:43:59,Asia,Site_B,311.0,96.43,2.77
2023-06-23 11:28:50,Australia,Site_E,562.88,99.64,2.6
2023-01-16 12:50:57,Africa,Site_C,337.79,93.74,0.47
2023-07-11 16:46:38,South America,Site_C,254.07,97.71,2.54
2023-09-24 02:59:29,Africa,Site_D,707.04,92.15,2.95
2023-04-23 10:48:45,South America,Site_A,267.64,90.71,2.9
2023-12-17 14:55:31,South America,Site_C,718.71,95.3,0.64
2023-05-03 04:58:13,Europe,Site_A,646.67,98.25,2.0
2023-03-02 15:46:22,South America,Site_D,979.41,91.04,3.04
2023-02-28 11:43:17,Europe,Site_B,367.53,91.21,1.91
2023-12-24 12:20:18,Australia,Site_B,874.5,99.99,4.02
2023-02-10 13:40:50,Australia,Site_D,119.57,98.41,3.73
2023-11-28 23:32:10,Africa,Site_C,82.07,93.92,2.84
2023-09-13 15:50:43,South America,Site_E,450.0,90.96,2.55
2023-02-25 23:55:56,Europe,Site_C,777.67,90.22,2.71
2023-04-13 00:50:20,South America,Site_D,73.66,92.83,0.88
2023-09-04 23:47:31,Asia,Site_A,994.05,91.09,2.84
2023-03-05 04:12:43,Africa,Site_A,272.33,90.98,4.35
2023-05-17 19:23:38,Europe,Site_D,275.98,90.24,2.04
2023-06-26 06:23:03,North America,Site_D,651.31,95.23,2.85
2023-08-20 22:17:11,Africa,Site_A,524.01,99.96,4.39
2023-12-05 15:47:12,Africa,Site_A,625.21,93.81,3.56
2023-04-08 17:08:48,Europe,Site_C,73.96,90.81,2.37
2023-12-28 20:07:43,Asia,Site_B,638.8,92.09,1.86
2023-07-27 07:16:04,Africa,Site_A,177.87,96.53,2.54
2023-05-07 22:05:20,Asia,Site_E,657.42,95.7,4.74
2023-04-13 13:42:44,Africa,Site_A,939.15,93.91,0.14
2023-09-04 19:22:22,Australia,Site_E,911.2,92.89,4.14
2023-08-08 06:38:19,North America,Site_D,206.78,97.72,4.52
2023-06-16 14:33:44,Africa,Site_B,184.08,91.08,3.76
2023-02-19 00:02:28,North America,Site_B,790.29,92.4,2.82
2023-03-23 22:17:45,North America,Site_A,425.0,93.02,0.94
2023-08-02 22:19:29,South America,Site_C,680.26,99.25,2.5
2023-09-19 22:50:55,Africa,Site_B,914.0,90.27,1.76
2023-08-25 02:46:27,Europe,Site_B,803.51,100.0,3.68
2023-01-06 09:23:03,North America,Site_E,99.61,98.83,0.1
2023-02-02 17:24:28,Australia,Site_E,390.81,99.84,2.98
2023-10-25 03:29:12,North America,Site_D,146.85,97.7,2.41
2023-12-07 22:56:04,Asia,Site_D,790.05,97.55,1.24
2023-01-14 05:46:25,South America,Site_C,138.03,95.99,4.01
2023-07-05 07:49:19,Europe,Site_E,669.33,96.37,0.02
2023-05-09 16:26:54,Africa,Site_B,227.8,94.13,1.25
2023-11-13 14:48:34,Europe,Site_A,229.57,96.33,2.82
2023-08-05 07:34:55,Africa,Site_E,286.15,92.43,3.26
2023-01-17 15:21:56,North America,Site_D,132.08,99.1,0.8
2023-08-08 06:10:48,South America,Site_A,108.08,95.74,4.71
2023-09-27 08:06:10,North America,Site_E,355.17,94.92,4.09
2023-12-01 18:49:44,Asia,Site_C,475.53,97.44,0.13
2023-01-04 23:35:40,North America,Site_E,579.15,91.2,4.8
2023-12-19 14:57:36,Africa,Site_A,953.69,93.47,4.37
2023-04-02 18:24:42,Europe,Site_B,974.92,95.03,4.32
2023-11-08 08:18:12,Africa,Site_E,629.73,98.94,0.07
2023-03-13 15:32:33,North America,Site_A,106.4,93.69,2.09
2023-04-10 16:14:52,South America,Site_C,183.29,94.98,1.05
2023-12-01 23:29:55,Europe,Site_D,903.59,90.79,0.58
2023-11-23 22:06:11,Australia,Site_C,972.77,99.76,1.8
2023-12-14 19:09:23,Asia,Site_A,410.48,99.76,3.03
2023-05-24 17:02:41,Australia,Site_E,944.19,93.93,4.52
2023-12-13 05:40:35,Australia,Site_C,275.62,92.08,0.24
2023-01-02 12:28:00,Australia,Site_D,714.15,92.73,3.82
2023-01-08 21:33:07,South America,Site_D,722.54,92.68,1.72
2023-10-09 09:55:36,South America,Site_D,589.3,95.15,2.15
2023-12-10 10:27:59,South America,Site_E,578.69,96.09,0.36
2023-01-23 08:49:22,South America,Site_B,706.28,90.09,1.3
2023-05-20 16:01:27,Africa,Site_A,167.7,95.01,1.39
2023-03-12 05:12:13,Asia,Site_E,477.43,95.96,5.0
2023-12-28 23:09:20,North America,Site_E,466.69,97.99,0.64
2023-01-07 02:43:48,South America,Site_C,968.04,97.33,4.78
2023-03-17 12:24:18,Europe,Site_D,404.98,93.77,0.94
2023-06-24 15:33:38,North America,Site_C,509.14,98.93,1.39
2023-02-02 08:36:10,Europe,Site_B,188.12,96.61,2.73
2023-10-10 12:52:25,South America,Site_C,629.31,95.52,2.45
2023-08-11 23:51:59,South America,Site_C,676.33,94.73,3.83
2023-12-23 08:31:32,Europe,Site_A,796.09,97.22,1.17
2023-10-02 15:37:50,South America,Site_A,774.2,92.2,1.72
2023-10-12 12:13:04,North America,Site_A,712.12,97.56,0.3
2023-01-27 04:50:52,Africa,Site_E,647.25,97.82,0.6
2023-03-29 03:43:56,Africa,Site_E,945.35,94.09,3.99
2023-10-05 18:58:33,North America,Site_D,419.98,92.89,4.26
2023-07-08 18:32:52,Asia,Site_E,405.92,90.0,4.82
2023-03-21 08:51:10,South America,Site_E,409.5,93.16,2.41
2023-05-07 07:32:53,North America,Site_E,655.42,90.32,0.39
2023-11-26 11:18:16,Africa,Site_C,300.66,90.4,1.67
2023-12-11 09:09:23,Asia,Site_A,459.46,99.22,2.61
2023-11-22 22:47:55,North America,Site_A,522.72,90.12,0.6
2023-06-21 17:16:40,Europe,Site_C,206.71,99.02,3.51
2023-04-11 05:38:00,Asia,Site_D,258.28,95.7,3.42
2023-12-29 07:19:41,North America,Site_A,875.87,96.06,1.91
2023-11-01 09:10:12,Africa,Site_C,967.98,91.18,0.52
2023-07-29 03:44:07,Africa,Site_D,452.67,95.83,0.67
2023-01-09 05:17:30,Asia,Site_E,357.18,94.43,1.5
2023-03-16 23:01:16,North America,Site_E,774.83,99.57,0.59
2023-01-21 10:51:08,North America,Site_C,315.0,93.43,1.96
2023-04-13 03:25:44,North America,Site_A,314.12,98.36,2.1
2023-12-25 06:44:00,Asia,Site_D,582.78,97.7,1.03
2023-05-02 16:49:52,Africa,Site_D,217.44,94.74,2.3
2023-05-25 00:32:44,South America,Site_D,754.23,95.52,2.97
2023-10-13 12:31:11,Australia,Site_B,239.55,97.04,2.16
2023-11-05 20:10:23,Africa,Site_E,527.52,94.43,4.41
2023-04-27 07:14:20,Europe,Site_E,925.15,93.71,4.19
2023-09-15 06:42:53,Australia,Site_A,716.95,91.59,3.37
2023-05-22 02:46:25,Europe,Site_C,692.56,96.43,3.04
2023-07-18 13:08:43,Australia,Site_C,613.86,97.91,1.1
2023-07-28 21:03:11,Europe,Site_C,707.64,93.46,1.53
2023-07-02 12:07:57,Asia,Site_A,525.59,98.16,3.71
2023-08-29 13:36:17,Africa,Site_B,787.19,96.75,1.25
2023-11-16 05:45:58,Australia,Site_E,273.65,93.98,3.52
2023-10-06 07:03:58,Europe,Site_C,210.36,97.34,1.23
2023-04-30 17:23:20,Europe,Site_C,90.11,98.13,2.08
2023-09-21 23:48:56,Africa,Site_A,970.98,96.8,4.97
2023-12-02 19:23:08,Africa,Site_B,936.03,98.09,3.9
2023-12-14 11:32:56,Africa,Site_E,704.85,93.59,4.23
2023-08-12 05:14:30,Europe,Site_E,646.44,99.58,1.9
2023-01-25 03:31:29,Asia,Site_E,738.18,94.58,3.1
2023-04-23 05:06:16,Africa,Site_C,704.24,93.3,2.38
2023-07-22 01:31:20,Asia,Site_D,947.47,94.52,1.68
2023-04-06 00:53:06,Africa,Site_D,496.38,97.94,3.31
2023-05-21 21:02:06,North America,Site_E,659.56,98.36,1.82
2023-04-13 12:54:13,Europe,Site_B,306.07,95.42,1.11
2023-05-10 15:33:56,Australia,Site_A,178.38,90.64,0.62
2023-03-13 23:40:57,Africa,Site_C,455.82,98.26,1.78
2023-02-07 08:54:59,Europe,Site_D,340.74,97.44,1.11
2023-05-13 00:42:55,Asia,Site_E,669.77,94.04,2.26
2023-03-29 21:46:57,Asia,Site_A,664.7,96.29,4.33
2023-08-22 07:57:10,Asia,Site_B,638.77,93.04,3.24
2023-07-24 14:29:56,South America,Site_A,415.77,90.36,0.23
2023-10-22 10:15:55,Australia,Site_A,296.05,91.72,3.14
2023-11-07 19:31:48,Africa,Site_D,718.76,91.95,4.22
2023-08-04 09:58:07,South America,Site_A,386.93,91.09,4.55
2023-01-13 16:04:07,Asia,Site_E,158.8,96.9,0.16
2023-01-18 17:53:46,Asia,Site_A,823.87,93.25,0.26
2023-09-07 01:14:32,Europe,Site_B,198.97,95.55,3.02
2023-02-19 11:51:50,Australia,Site_D,624.48,91.51,4.14
2023-02-15 11:57:57,Asia,Site_C,664.48,97.89,0.24
2023-07-27 16:45:24,South America,Site_E,374.63,95.42,1.1
2023-03-14 19:43:54,Asia,Site_D,356.95,99.45,4.62
2023-09-10 19:31:34,Africa,Site_E,429.92,96.01,3.47
2023-09-29 16:28:30,Asia,Site_E,706.42,99.49,3.89
2023-07-27 03:51:22,Asia,Site_E,528.27,90.13,0.55
2023-01-19 21:55:36,Australia,Site_D,785.3,97.33,3.77
2023-04-11 12:26:41,North America,Site_A,77.77,90.7,0.68
2023-10-04 09:47:03,Asia,Site_D,95.56,91.04,0.53
2023-02-23 10:02:46,Asia,Site_B,339.2,91.82,0.19
2023-04-16 20:36:51,Australia,Site_E,352.83,92.43,1.83
2023-08-14 01:52:59,Australia,Site_E,58.45,93.65,3.23
2023-10-18 23:15:46,Europe,Site_C,122.65,99.22,0.1
2023-11-14 17:54:20,Asia,Site_C,378.97,99.51,1.06
2023-07-18 11:39:38,South America,Site_A,370.12,96.16,4.36
2023-10-31 07:05:01,Australia,Site_E,653.9,93.07,0.75
2023-03-09 16:09:21,Europe,Site_C,332.46,93.54,3.52
2023-09-04 07:47:30,Africa,Site_D,113.48,91.31,3.55
2023-05-10 02:43:54,Europe,Site_D,974.91,91.78,2.87
2023-03-03 01:35:01,Europe,Site_B,761.93,90.62,1.42
2023-04-25 18:25:47,Africa,Site_D,713.02,97.36,0.96
2023-12-13 01:31:01,Africa,Site_E,721.33,98.85,1.58
2023-08-21 14:22:21,South America,Site_B,635.7,92.52,3.41
2023-11-09 02:34:07,Africa,Site_E,782.43,92.68,0.69
2023-05-24 04:31:21,Africa,Site_C,154.5,97.57,4.94
2023-12-13 10:24:55,Australia,Site_D,143.2,98.36,4.88
2023-07-14 22:51:38,Asia,Site_D,276.75,98.62,1.18
2023-08-07 20:46:06,Australia,Site_C,640.58,90.95,2.9
2023-07-24 07:25:54,Europe,Site_C,524.22,99.56,4.57
2023-03-28 13:38:02,Europe,Site_C,244.48,98.5,3.18
2023-09-11 01:41:55,Africa,Site_C,536.48,97.94,1.98
2023-02-09 02:11:45,Africa,Site_D,988.26,93.71,4.32
2023-03-15 03:50:40,Europe,Site_B,584.55,91.15,3.8
2023-11-06 09:11:29,South America,Site_B,462.63,91.19,1.7
2023-07-26 12:10:52,Asia,Site_B,607.5,93.73,0.28
2023-06-13 16:24:03,Australia,Site_C,604.74,94.68,3.73
2023-06-08 05:43:09,Asia,Site_D,926.37,90.46,0.25
2023-12-07 19:06:00,Europe,Site_D,569.5,96.51,4.01
2023-10-18 14:32:24,Africa,Site_A,380.46,91.15,2.79
2023-10-02 20:29:55,Australia,Site_D,948.48,99.33,1.09
2023-04-18 13:12:36,North America,Site_D,108.14,98.1,2.25
2023-10-07 19:47:46,Australia,Site_E,214.7,90.86,2.87
2023-06-20 13:51:05,South America,Site_A,397.86,95.51,4.79
2023-03-25 15:28:35,North America,Site_A,283.21,95.91,0.23
2023-07-06 05:58:34,South America,Site_E,954.99,94.82,2.37
2023-11-23 20:58:24,Asia,Site_A,171.5,98.8,1.1
2023-09-03 02:36:24,Europe,Site_A,887.03,93.23,3.08
2023-10-30 08:34:56,Europe,Site_B,397.22,94.16,0.67
2023-06-10 08:11:10,Asia,Site_B,520.63,92.78,3.66
2023-10-31 04:04:14,Europe,Site_D,158.28,97.96,0.17
2023-07-20 13:11:52,Asia,Site_D,379.58,92.16,1.59
2023-10-04 06:27:56,South America,Site_A,722.56,91.3,1.61
2023-06-26 03:19:30,Africa,Site_C,90.96,93.41,2.15
2023-08-13 00:36:59,South America,Site_C,613.43,93.15,2.66
2023-05-14 01:15:43,North America,Site_D,611.74,99.78,0.46
2023-07-11 03:10:39,Africa,Site_E,941.02,91.12,2.54
2023-10-22 03:21:38,North America,Site_A,605.66,97.4,0.31
